,prices
336,"[1721779200000, 5.92462]"
337,"[1721865600000, 5.74893]"
338,"[1721952000000, 5.75248]"
339,"[1722038400000, 5.86863]"
340,"[1722124800000, 5.84008]"
341,"[1722211200000, 5.72301]"
342,"[1722297600000, 5.64366]"
343,"[1722384000000, 5.51837]"
344,"[1722470400000, 5.38525]"
345,"[1722556800000, 5.34394]"
346,"[1722643200000, 5.11775]"
347,"[1722729600000, 5.04682]"
348,"[1722816000000, 4.67678]"
349,"[1722902400000, 4.20572]"
350,"[1722988800000, 4.50307]"
351,"[1723075200000, 4.5672]"
352,"[1723161600000, 4.87764]"
353,"[1723248000000, 4.791]"
354,"[1723334400000, 4.75429]"
355,"[1723420800000, 4.49724]"
356,"[1723507200000, 4.58632]"
357,"[1723593600000, 4.54901]"
358,"[1723680000000, 4.38579]"
359,"[1723766400000, 4.28118]"
360,"[1723852800000, 4.29]"
361,"[1723939200000, 4.36162]"
362,"[1724025600000, 4.38418]"
363,"[1724112000000, 4.48451]"
364,"[1724198400000, 4.52189]"
