,prices
276,"[1716508800000, 598.79914]"
277,"[1716595200000, 600.02374]"
278,"[1716681600000, 602.18529]"
279,"[1716768000000, 600.00996]"
280,"[1716854400000, 603.73799]"
281,"[1716940800000, 601.0272]"
282,"[1717027200000, 595.19069]"
283,"[1717113600000, 595.08194]"
284,"[1717200000000, 593.70732]"
285,"[1717286400000, 600.92398]"
286,"[1717372800000, 602.94714]"
287,"[1717459200000, 626.56455]"
288,"[1717545600000, 686.51067]"
289,"[1717632000000, 699.92411]"
290,"[1717718400000, 710.04348]"
291,"[1717804800000, 683.33833]"
292,"[1717891200000, 682.78275]"
293,"[1717977600000, 673.49531]"
294,"[1718064000000, 624.11119]"
295,"[1718150400000, 601.68925]"
296,"[1718236800000, 618.83877]"
297,"[1718323200000, 599.15665]"
298,"[1718409600000, 603.05382]"
299,"[1718496000000, 607.80656]"
300,"[1718582400000, 609.83303]"
301,"[1718668800000, 603.93177]"
302,"[1718755200000, 588.35473]"
303,"[1718841600000, 598.1824]"
304,"[1718928000000, 586.90594]"
305,"[1719014400000, 585.8611]"
306,"[1719100800000, 590.55965]"
307,"[1719187200000, 577.11231]"
308,"[1719273600000, 568.28663]"
309,"[1719360000000, 578.1017]"
310,"[1719446400000, 571.96539]"
311,"[1719532800000, 580.48481]"
312,"[1719619200000, 566.77918]"
313,"[1719705600000, 569.03798]"
314,"[1719792000000, 581.77859]"
315,"[1719878400000, 576.45821]"
316,"[1719964800000, 579.02445]"
317,"[1720051200000, 556.97972]"
318,"[1720137600000, 513.94538]"
319,"[1720224000000, 498.62197]"
320,"[1720310400000, 527.45664]"
321,"[1720396800000, 489.89661]"
322,"[1720483200000, 510.23246]"
323,"[1720569600000, 516.67005]"
324,"[1720656000000, 524.29347]"
325,"[1720742400000, 525.42436]"
326,"[1720828800000, 533.79694]"
327,"[1720915200000, 531.83009]"
328,"[1721001600000, 544.99238]"
329,"[1721088000000, 586.50216]"
330,"[1721174400000, 577.07333]"
331,"[1721260800000, 568.66299]"
332,"[1721347200000, 571.97328]"
333,"[1721433600000, 593.62867]"
334,"[1721520000000, 593.75839]"
