,prices
292,"[1718064000000, 7.22526]"
293,"[1718150400000, 6.93912]"
294,"[1718236800000, 7.44856]"
295,"[1718323200000, 7.73652]"
296,"[1718409600000, 8.17093]"
297,"[1718496000000, 7.91718]"
298,"[1718582400000, 7.93824]"
299,"[1718668800000, 7.70483]"
300,"[1718755200000, 7.13091]"
301,"[1718841600000, 6.94308]"
302,"[1718928000000, 7.14077]"
303,"[1719014400000, 7.09804]"
304,"[1719100800000, 7.33959]"
305,"[1719187200000, 7.50048]"
306,"[1719273600000, 7.50436]"
307,"[1719360000000, 7.49384]"
308,"[1719446400000, 7.61921]"
309,"[1719532800000, 7.76753]"
310,"[1719619200000, 7.47921]"
311,"[1719705600000, 7.57695]"
312,"[1719792000000, 7.64082]"
313,"[1719878400000, 7.72799]"
314,"[1719964800000, 8.0677]"
315,"[1720051200000, 7.87763]"
316,"[1720137600000, 7.12864]"
317,"[1720224000000, 7.21394]"
318,"[1720310400000, 7.59277]"
319,"[1720396800000, 7.05488]"
320,"[1720483200000, 7.10885]"
321,"[1720569600000, 7.2903]"
322,"[1720656000000, 7.22328]"
323,"[1720742400000, 7.32367]"
324,"[1720828800000, 7.33438]"
325,"[1720915200000, 7.26827]"
326,"[1721001600000, 7.44178]"
327,"[1721088000000, 7.63823]"
328,"[1721174400000, 7.28464]"
329,"[1721260800000, 7.1127]"
330,"[1721347200000, 7.25303]"
331,"[1721433600000, 7.30184]"
332,"[1721520000000, 7.27056]"
333,"[1721606400000, 7.18047]"
334,"[1721692800000, 6.97797]"
335,"[1721779200000, 6.86355]"
336,"[1721865600000, 6.8637]"
337,"[1721952000000, 6.60699]"
338,"[1722038400000, 6.72088]"
339,"[1722124800000, 6.64438]"
340,"[1722211200000, 6.62669]"
341,"[1722297600000, 6.61261]"
342,"[1722384000000, 6.72782]"
343,"[1722470400000, 6.75862]"
344,"[1722556800000, 6.74738]"
345,"[1722643200000, 6.17936]"
346,"[1722729600000, 5.96816]"
347,"[1722816000000, 6.00366]"
348,"[1722902400000, 5.28918]"
349,"[1722988800000, 5.74891]"
350,"[1723075200000, 5.43738]"
351,"[1723161600000, 6.25091]"
352,"[1723248000000, 6.61844]"
353,"[1723334400000, 6.68273]"
354,"[1723420800000, 6.20618]"
355,"[1723507200000, 6.26912]"
356,"[1723593600000, 6.46989]"
357,"[1723680000000, 6.90497]"
358,"[1723766400000, 6.61248]"
359,"[1723852800000, 6.54584]"
360,"[1723939200000, 6.44357]"
361,"[1724025600000, 6.88576]"
362,"[1724112000000, 6.83762]"
363,"[1724198400000, 6.66686]"
364,"[1724284800000, 6.50546]"
