,prices
244,"[1713916800000, 3727.67407]"
245,"[1714003200000, 3639.70076]"
246,"[1714089600000, 3663.50438]"
247,"[1714176000000, 3640.92535]"
248,"[1714262400000, 3785.1861]"
249,"[1714348800000, 3795.3348]"
250,"[1714435200000, 3746.32186]"
251,"[1714521600000, 3499.69302]"
252,"[1714608000000, 3448.09328]"
253,"[1714694400000, 3482.16347]"
254,"[1714780800000, 3621.53198]"
255,"[1714867200000, 3630.69797]"
256,"[1714953600000, 3656.24436]"
257,"[1715040000000, 3580.0446]"
258,"[1715126400000, 3519.93529]"
259,"[1715212800000, 3464.86364]"
260,"[1715299200000, 3539.06356]"
261,"[1715385600000, 3391.60048]"
262,"[1715472000000, 3397.00364]"
263,"[1715558400000, 3418.72484]"
264,"[1715644800000, 3436.56935]"
265,"[1715731200000, 3359.43915]"
266,"[1715817600000, 3521.83683]"
267,"[1715904000000, 3423.45351]"
268,"[1715990400000, 3603.48739]"
269,"[1716076800000, 3634.9135]"
270,"[1716163200000, 3587.53615]"
271,"[1716249600000, 4279.7809]"
272,"[1716336000000, 4428.70925]"
273,"[1716422400000, 4380.3822]"
274,"[1716508800000, 4407.88871]"
275,"[1716595200000, 4355.09048]"
276,"[1716681600000, 4370.08702]"
277,"[1716768000000, 4471.40838]"
278,"[1716854400000, 4539.73866]"
279,"[1716940800000, 4497.95363]"
280,"[1717027200000, 4402.48167]"
281,"[1717113600000, 4375.90137]"
282,"[1717200000000, 4396.86867]"
283,"[1717286400000, 4451.13403]"
284,"[1717372800000, 4413.56008]"
285,"[1717459200000, 4399.09838]"
286,"[1717545600000, 4448.68519]"
287,"[1717632000000, 4508.83436]"
288,"[1717718400000, 4468.93052]"
289,"[1717804800000, 4300.9453]"
290,"[1717891200000, 4306.64376]"
291,"[1717977600000, 4334.67545]"
292,"[1718064000000, 4285.86351]"
293,"[1718150400000, 4087.42886]"
294,"[1718236800000, 4155.33495]"
295,"[1718323200000, 4050.86084]"
296,"[1718409600000, 4066.62126]"
297,"[1718496000000, 4171.24996]"
298,"[1718582400000, 4240.85056]"
299,"[1718668800000, 4107.22761]"
300,"[1718755200000, 4068.24795]"
301,"[1718841600000, 4165.63293]"
302,"[1718928000000, 4110.6295]"
303,"[1719014400000, 4114.01612]"
304,"[1719100800000, 4089.36691]"
305,"[1719187200000, 3998.69756]"
306,"[1719273600000, 3921.01814]"
307,"[1719360000000, 3970.03476]"
308,"[1719446400000, 3943.40152]"
309,"[1719532800000, 4033.42619]"
310,"[1719619200000, 3949.82849]"
311,"[1719705600000, 3948.90486]"
312,"[1719792000000, 4021.11404]"
313,"[1719878400000, 4026.63009]"
314,"[1719964800000, 4003.60532]"
315,"[1720051200000, 3860.88624]"
316,"[1720137600000, 3606.26819]"
317,"[1720224000000, 3498.88248]"
318,"[1720310400000, 3594.45812]"
319,"[1720396800000, 3429.77]"
320,"[1720483200000, 3540.19209]"
321,"[1720569600000, 3588.91439]"
322,"[1720656000000, 3634.22014]"
323,"[1720742400000, 3631.61376]"
324,"[1720828800000, 3667.53387]"
325,"[1720915200000, 3734.50322]"
326,"[1721001600000, 3816.53058]"
327,"[1721088000000, 4083.53902]"
328,"[1721174400000, 4045.96884]"
329,"[1721260800000, 3981.63506]"
330,"[1721347200000, 4021.17478]"
331,"[1721433600000, 4115.99689]"
332,"[1721520000000, 4127.37045]"
333,"[1721606400000, 4146.23983]"
334,"[1721692800000, 4042.49012]"
335,"[1721779200000, 4084.72024]"
336,"[1721865600000, 3908.77046]"
337,"[1721952000000, 3727.02918]"
338,"[1722038400000, 3849.09747]"
339,"[1722124800000, 3817.40502]"
340,"[1722211200000, 3839.46099]"
341,"[1722297600000, 3891.13555]"
342,"[1722384000000, 3844.74334]"
343,"[1722470400000, 3790.9186]"
344,"[1722556800000, 3763.70873]"
345,"[1722643200000, 3497.77788]"
346,"[1722729600000, 3412.07699]"
347,"[1722816000000, 3158.86539]"
348,"[1722902400000, 2837.04089]"
349,"[1722988800000, 2878.73094]"
350,"[1723075200000, 2748.08357]"
351,"[1723161600000, 3151.76386]"
352,"[1723248000000, 3055.45904]"
353,"[1723334400000, 3062.31825]"
354,"[1723420800000, 3005.41619]"
355,"[1723507200000, 3204.89127]"
356,"[1723593600000, 3174.92316]"
357,"[1723680000000, 3131.72244]"
358,"[1723766400000, 3022.40577]"
359,"[1723852800000, 3049.5345]"
360,"[1723939200000, 3071.19191]"
361,"[1724025600000, 3073.06305]"
362,"[1724112000000, 3100.34324]"
363,"[1724198400000, 3032.46171]"
364,"[1724284800000, 3090.71561]"
