,prices
278,"[1716768000000, 36.7688]"
279,"[1716854400000, 38.22217]"
280,"[1716940800000, 37.01293]"
281,"[1717027200000, 36.14498]"
282,"[1717113600000, 35.98032]"
283,"[1717200000000, 36.08925]"
284,"[1717286400000, 35.77273]"
285,"[1717372800000, 34.935]"
286,"[1717459200000, 35.03673]"
287,"[1717545600000, 36.09176]"
288,"[1717632000000, 36.53598]"
289,"[1717718400000, 35.92617]"
290,"[1717804800000, 33.50991]"
291,"[1717891200000, 32.30038]"
292,"[1717977600000, 32.96002]"
293,"[1718064000000, 32.30572]"
294,"[1718150400000, 31.52506]"
295,"[1718236800000, 33.25627]"
296,"[1718323200000, 30.96249]"
297,"[1718409600000, 30.3019]"
298,"[1718496000000, 29.96763]"
299,"[1718582400000, 29.98902]"
300,"[1718668800000, 28.46731]"
301,"[1718755200000, 26.60945]"
302,"[1718841600000, 26.852]"
303,"[1718928000000, 27.53097]"
304,"[1719014400000, 27.44115]"
305,"[1719100800000, 25.60991]"
306,"[1719187200000, 25.0495]"
307,"[1719273600000, 24.85626]"
308,"[1719360000000, 25.40662]"
309,"[1719446400000, 25.80208]"
310,"[1719532800000, 27.86749]"
311,"[1719619200000, 27.89756]"
312,"[1719705600000, 27.70147]"
313,"[1719792000000, 29.30681]"
314,"[1719878400000, 28.81797]"
315,"[1719964800000, 28.62799]"
316,"[1720051200000, 26.49174]"
317,"[1720137600000, 24.46607]"
318,"[1720224000000, 25.1337]"
319,"[1720310400000, 27.41996]"
320,"[1720396800000, 25.64894]"
321,"[1720483200000, 25.22802]"
322,"[1720569600000, 26.41232]"
323,"[1720656000000, 25.77503]"
324,"[1720742400000, 25.25234]"
325,"[1720828800000, 25.94698]"
326,"[1720915200000, 25.86612]"
327,"[1721001600000, 26.4371]"
328,"[1721088000000, 27.83653]"
329,"[1721174400000, 28.04501]"
330,"[1721260800000, 27.26237]"
331,"[1721347200000, 27.14036]"
332,"[1721433600000, 28.17326]"
333,"[1721520000000, 29.1384]"
334,"[1721606400000, 32.61041]"
335,"[1721692800000, 31.9338]"
336,"[1721779200000, 29.87418]"
337,"[1721865600000, 28.39619]"
338,"[1721952000000, 27.25732]"
339,"[1722038400000, 28.69124]"
340,"[1722124800000, 28.14526]"
341,"[1722211200000, 27.40634]"
342,"[1722297600000, 27.13098]"
343,"[1722384000000, 26.33975]"
344,"[1722470400000, 25.71989]"
345,"[1722556800000, 25.70826]"
346,"[1722643200000, 23.5656]"
347,"[1722729600000, 22.68556]"
348,"[1722816000000, 21.19626]"
349,"[1722902400000, 19.56047]"
350,"[1722988800000, 20.85385]"
351,"[1723075200000, 19.85284]"
352,"[1723161600000, 22.73024]"
353,"[1723248000000, 21.77536]"
354,"[1723334400000, 21.58677]"
355,"[1723420800000, 20.44155]"
356,"[1723507200000, 21.28914]"
357,"[1723593600000, 21.41949]"
358,"[1723680000000, 20.96642]"
359,"[1723766400000, 20.13099]"
360,"[1723852800000, 20.3845]"
361,"[1723939200000, 20.65742]"
362,"[1724025600000, 20.77849]"
363,"[1724112000000, 21.25054]"
364,"[1724198400000, 22.28104]"
