,prices
336,"[1721779200000, 173.03326]"
337,"[1721865600000, 178.01894]"
338,"[1721952000000, 171.69638]"
339,"[1722038400000, 183.08447]"
340,"[1722124800000, 184.66861]"
341,"[1722211200000, 184.78836]"
342,"[1722297600000, 182.54352]"
343,"[1722384000000, 179.03919]"
344,"[1722470400000, 171.97399]"
345,"[1722556800000, 167.88784]"
346,"[1722643200000, 152.41068]"
347,"[1722729600000, 143.12749]"
348,"[1722816000000, 137.55504]"
349,"[1722902400000, 129.69771]"
350,"[1722988800000, 143.64341]"
351,"[1723075200000, 145.14245]"
352,"[1723161600000, 163.04651]"
353,"[1723248000000, 156.48103]"
354,"[1723334400000, 153.89247]"
355,"[1723420800000, 141.47129]"
356,"[1723507200000, 146.52219]"
357,"[1723593600000, 146.77185]"
358,"[1723680000000, 143.86732]"
359,"[1723766400000, 142.88163]"
360,"[1723852800000, 139.12319]"
361,"[1723939200000, 141.68881]"
362,"[1724025600000, 142.46608]"
363,"[1724112000000, 144.5738]"
364,"[1724198400000, 142.51583]"
